# curie_map:
#   inherit: https://openinherit.org/schemas/
#   uk_w_common_law: https://openinherit.org/legal-substrate/uk-eng-wales/
#   scots_law: https://openinherit.org/legal-substrate/scotland/
#   switzerland_zgb: https://openinherit.org/legal-substrate/switzerland-zgb/
#   muslim_faraid: https://openinherit.org/legal-substrate/muslim-faraid/
#   hindu_succession: https://openinherit.org/legal-substrate/hindu-succession/
#   jewish_halacha: https://openinherit.org/legal-substrate/jewish-halacha/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   orcid: https://orcid.org/
# mapping_set_id: https://openinherit.org/mappings/wills-substitution-q028-nu-eta
# mapping_set_version: '1.0'
# mapping_set_title: Wills.SubstitutionClause universal classifier mapping_set (Q-028 nu-eta-star)
# license: https://creativecommons.org/publicdomain/zero/1.0/
# creator_id: https://openinherit.org
# mapping_set_description: SSSOM mapping_set bridging Q-028 nu-eta-star universal SubstitutionMechanismScheme + SubstitutionFailureModeScheme to three Phase-1 jurisdictions (UK England-Wales common-law + Scotland T-and-S-S-A 2024 + Switzerland ZGB Erbrecht) plus three faith pillars (Muslim faraid + Hindu HSA 1956 + Jewish halacha). Authored Sunday 17 May 2026 BST.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence
inherit:simple-substitution	simple-substitution	skos:exactMatch	uk_w_common_law:gift_over	gift-over (common-law)	semapv:ManualMappingCuration	0.95
inherit:simple-substitution	simple-substitution	skos:exactMatch	scots_law:conditional_institution	conditional institution (Scots law)	semapv:ManualMappingCuration	0.95
inherit:simple-substitution	simple-substitution	skos:exactMatch	switzerland_zgb:ersatzerbe_487	Ersatzerbe ZGB Art 487	semapv:ManualMappingCuration	0.95
inherit:fideicommissary-substitution	fideicommissary-substitution	skos:closeMatch	uk_w_common_law:life_estate_remainder	life estate and remainder (common-law)	semapv:ManualMappingCuration	0.85
inherit:fideicommissary-substitution	fideicommissary-substitution	skos:closeMatch	scots_law:liferent_and_fee	liferent and fee (Scots law)	semapv:ManualMappingCuration	0.85
inherit:fideicommissary-substitution	fideicommissary-substitution	skos:exactMatch	switzerland_zgb:nacherbeinsetzung_491	Nacherbeinsetzung ZGB Art 491 (Vorerbe-Nacherbe 488-492)	semapv:ManualMappingCuration	0.95
inherit:conditional-substitution	conditional-substitution	skos:exactMatch	uk_w_common_law:conditional_gift	conditional gift (common-law)	semapv:ManualMappingCuration	0.95
inherit:conditional-substitution	conditional-substitution	skos:exactMatch	scots_law:conditional_legacy	conditional legacy (Scots law)	semapv:ManualMappingCuration	0.95
inherit:conditional-substitution	conditional-substitution	skos:exactMatch	switzerland_zgb:bedingte_ersetzung	bedingte Ersetzung (Swiss conditional substitution)	semapv:ManualMappingCuration	0.95
inherit:per-stirpes-substitution	per-stirpes-substitution	skos:exactMatch	uk_w_common_law:wills_act_1837_s33_anti_lapse	Wills Act 1837 s.33 anti-lapse + s.33A 2014 amendment	semapv:ManualMappingCuration	0.95
inherit:per-stirpes-substitution	per-stirpes-substitution	skos:exactMatch	scots_law:conditio_si_sine_liberis_decesserit	conditio si sine liberis decesserit (Scots law)	semapv:ManualMappingCuration	0.95
inherit:per-stirpes-substitution	per-stirpes-substitution	skos:exactMatch	switzerland_zgb:droit_representation_par_souche	droit de représentation par souche (Swiss law)	semapv:ManualMappingCuration	0.90
inherit:per-stirpes-substitution	per-stirpes-substitution	skos:exactMatch	hindu_succession:hsa_1956_s5_orphaned_grandchild	HSA 1956 s.5 orphaned-grandchild representational succession	semapv:ManualMappingCuration	0.95
inherit:per-stirpes-substitution	per-stirpes-substitution	skos:closeMatch	muslim_faraid:quran_4_11_12_forced_substitution	Quran 4:11-12 faraid forced-substitution to next-class	semapv:ManualMappingCuration	0.75
inherit:per-stirpes-substitution	per-stirpes-substitution	skos:closeMatch	jewish_halacha:bekhor_substitution_bava_batra	bekhor substitution rules (Bava Batra; limited halachic-strict pillar)	semapv:ManualMappingCuration	0.70
inherit:destination-over	destination-over	skos:exactMatch	scots_law:destination_over	destination-over (Scots law peculiarity)	semapv:ManualMappingCuration	0.95
